Unnamed: 0,OBJECTID,RSID_left,CLASS_left,NAME,USRN_left,CROSSREFER_left,ENTRY_DATE_left,ROAD_NUMBE_left,ESU_left,FROM_END_left,TO_END_left,ENABLED_left,MetrepMin_left,Length_left,Minutes_left,Id_left,geometry
54,95733,5009341.0,U,LOUGHVIEW DRIVE,14064.0,0.0,2006-11-07,U6501,127156,0,0,1,533.3333,122.4644,0.2296,0,"LINESTRING (223422.14500000002 345176.774, 223413.26 345155.701, 223402.69300000003 345126.163, 223400 345119.624, 223397.03499999997 345112.725, 223392.849 345101.566, 223387.92700000003 345089.339, 223383.37800000003 345079.932, 223379.06900000002 345072.372, 223374.28100000002 345064.291)"
55,95734,5009341.0,U,LOUGHVIEW DRIVE,14064.0,0.0,2006-11-07,U6501,8274,0,0,1,533.3333,114.621,0.2149,0,"LINESTRING (223374.28100000002 345064.291, 223369.055 345058.647, 223357.489 345046.427, 223341.71399999998 345031.1, 223332.40899999999 345022.018, 223322.87800000003 345012.686, 223316.353 345005.492, 223311.10600000003 344998.917, 223305.175 344990.272, 223301.174 344982.894, 223299.50699999998 344978.429)"
56,95735,5009341.0,U,LOUGHVIEW DRIVE,14064.0,0.0,2006-11-07,U6501,132256,0,0,1,533.3333,154.8033,0.2903,0,"LINESTRING (223299.50699999998 344978.429, 223295.402 344970.201, 223291.61800000002 344960.898, 223288.929 344950.542, 223287.18300000002 344938.609, 223286.9407686809 344934.9311779999)"
57,98113,0.0,U,LAKEVIEW PARK,1307.0,0.0,2006-11-07,,49889,0,0,1,533.3333,85.7517,0.1608,0,"LINESTRING (223437.75087556345 343266.29752112716, 223445.657 343240.599)"
58,98393,0.0,U,,0.0,0.0,2006-11-07,,163221,0,0,1,533.3333,8.1079,0.0152,0,"LINESTRING (223217.99699999997 344191.456, 223223.37 344185.384)"
59,98442,5010451.0,U,CLEENISH ROAD,32876.0,0.0,2006-11-07,,106753,0,0,1,533.3333,383.0169,0.7182,0,"LINESTRING (225659.3477786786 338496.6034948635, 225661.96000000002 338500.36, 225663.48398270682 338502.21203763137)"
60,100221,5009539.0,U,WELLINGTON PLACE,15553.0,0.0,2006-11-07,U6523,137485,0,0,1,533.3333,35.8962,0.0673,0,"LINESTRING (223217.99699999997 344191.456, 223212.575 344191.703, 223184.124 344202.606)"
61,100556,5010436.0,U,,0.0,0.0,2006-11-07,,137540,0,0,1,533.3333,129.8604,0.2435,0,"LINESTRING (223628.5942625307 339026.8552092648, 223631.675 339030.967, 223640.71500000003 339040.773, 223650.256 339049.93, 223659.74699999997 339058.588)"
62,100571,0.0,U,,0.0,0.0,2006-11-07,,158036,0,0,1,533.3333,83.5692,0.1567,0,"LINESTRING (223219.863 344280.46, 223219.162 344275.553, 223219.90000000002 344272.6, 223224.32799999998 344270.386, 223232.19900000002 344267.435, 223243.023 344262.269, 223255.322 344256.365, 223265.653 344250.462, 223274.50900000002 344245.296, 223279.674 344243.574, 223288.602 344242.609)"
63,102527,5009343.0,U,INNISKEEN CLOSE,3945.0,0.0,2006-11-07,U6501,44616,0,0,1,533.3333,64.9159,0.1217,0,"LINESTRING (223299.50699999998 344978.429, 223304.147 344976.638, 223311.358 344974.213, 223317.04599999997 344971.943, 223317.44263162217 344971.6515459545)"
