,OBJECTID,RSID_left,CLASS_left,NAME,USRN_left,CROSSREFER_left,ENTRY_DATE_left,ROAD_NUMBE_left,ESU_left,FROM_END_left,TO_END_left,TEMP_left,ENABLED_left,MetrepMin_left,Length_left,Minutes_left,Id_left,geometry,index_right,Key,RSID_right,CLASS_right,NAME_1,USRN_right,CROSSREFER_right,ENTRY_DATE_right,ROAD_NUMBE_right,ESU_right,FROM_END_right,TO_END_right,TEMP_right,ENABLED_right,MetrepMin_right,Length_right,Minutes_right,OBJECTID_2,Id_right,NAME_2,ET_ID,Shape_Leng,Shape_Area
55,17168,5000347.0,A,DERRYLIN ROAD,29989.0,0.0,2006-11-07,A0509,109436,0,0,,1,1466.6667,1326.7899,0.9046,0,"LINESTRING (223162.9449251938 339800.4215297216, 223162.65000000002 339798.466, 223159.05 339777.795, 223156.408 339765.166, 223151.15060220935 339744.9858712507)",,,,,,,,,,,,,,,,,,,,,,,
56,17394,5000352.0,A,DERRYLIN ROAD,29989.0,0.0,2006-11-07,A0509,647,0,0,,1,1466.6667,11.9746,0.0082,0,"LINESTRING (222057.588 342647.07, 222067.54499999998 342640.418)",,,,,,,,,,,,,,,,,,,,,,,
57,17402,5000309.0,A,BOA ISLAND ROAD,32505.0,0.0,2006-11-07,A0047,114660,0,0,,1,1466.6667,2195.7781,1.4971,0,"LINESTRING (204698.38742974252 362287.81519506534, 204729.89399999997 362297.257, 204759.37199999997 362304.674, 204787.60100000002 362312.404, 204791.39337879696 362313.344524623)",,,,,,,,,,,,,,,,,,,,,,,
58,17406,5000309.0,A,BOA ISLAND ROAD,32505.0,0.0,2006-11-07,A0047,648,0,0,,1,1466.6667,218.4591,0.1489,0,"LINESTRING (202061.54858458214 361537.5868039675, 202047.717 361531.694, 202026.836 361521.342, 202007.64 361508.976, 201985.478 361494.581, 201967.582 361482.056, 201949.517 361467.031, 201923.25300000003 361445.613, 201920.4151500648 361443.3648931604)",,,,,,,,,,,,,,,,,,,,,,,
60,17419,5000309.0,A,BOA ISLAND ROAD,32505.0,0.0,2006-11-07,A0047,124787,0,0,,1,1466.6667,4722.9324,3.2202,0,"LINESTRING (213784.18405530186 364246.3236377914, 213788.124 364251.687, 213842.485 364312.063, 213891.349 364367.182, 213929.849 364408.339, 213958.19400000002 364439.69, 213982.76 364463.75, 213993.48100000003 364471.812)",,,,,,,,,,,,,,,,,,,,,,,
61,17474,5000295.0,A,LOUGH SHORE ROAD,30597.0,0.0,2006-11-07,A0046,150354,0,0,,1,1466.6667,207.9912,0.1418,0,"LINESTRING (221528.45609967734 345430.52836807806, 221531.59100000001 345427.187, 221542.16499999998 345415.622, 221553.729 345403.05, 221563.244 345393.344, 221574.41999999998 345382.199, 221587.484 345369.538, 221595.46000000002 345361.43, 221600 345356.958, 221608.57799999998 345348.368)",,,,,,,,,,,,,,,,,,,,,,,
62,17478,5000295.0,A,LOUGH SHORE ROAD,30597.0,0.0,2006-11-07,A0046,140132,0,0,,1,1466.6667,214.0081,0.1459,0,"LINESTRING (221608.57799999998 345348.368, 221621.89500000002 345335.258, 221646.12099999998 345311.947, 221647.67599999998 345310.451, 221669.37900000002 345288.609, 221688.979 345269.8, 221706.239 345253.078, 221718.418 345242.286, 221733.93699999998 345229.316, 221749.842 345217.04, 221767.20500000002 345205.289)",,,,,,,,,,,,,,,,,,,,,,,
63,17479,5000295.0,A,LOUGH SHORE ROAD,30597.0,0.0,2006-11-07,A0046,109467,0,0,,1,1466.6667,99.0337,0.0675,0,"LINESTRING (221767.20500000002 345205.289, 221775.79599999997 345200, 221798.865 345186.961, 221823.50199999998 345173.701, 221845.10700000002 345161.24, 221853.56900000002 345156.864)",,,,,,,,,,,,,,,,,,,,,,,
64,17480,5000295.0,A,LOUGH SHORE ROAD,30597.0,0.0,2006-11-07,A0046,83655,0,0,,1,1466.6667,71.1161,0.0485,0,"LINESTRING (221853.56900000002 345156.864, 221869.05699999997 345149.324, 221888.99138972786 345139.06264449825)",,,,,,,,,,,,,,,,,,,,,,,
65,19380,5000305.0,A,LOUGH SHORE ROAD,30597.0,0.0,2006-11-07,A0046,129981,0,0,,1,1466.6667,80.7799,0.0551,0,"LINESTRING (201612.34499999997 357811.611, 201632.363 357817.1, 201659.08299999998 357822.286, 201679.19900000002 357827.925, 201690.68 357831.104)",,,,,,,,,,,,,,,,,,,,,,,
